"Venue","Review Rating","Sentence","ContextIndependence","FactoidType"
"#Caputo’s Fine Foods",1.00,"The cinnamon bun was pretty good, but I think the sticky bun might be a little bit better - but I'd still order both if I got to sample everything.",FALSE,"judgement :: positive"
,,"The coffee ($4.50 with unlimited refills) tasted like Intelligentsia but I didn't ask.",FALSE,"fact :: practical"
,,"I'm not a fan of Intelligentsia but the others at my table enjoyed it.",FALSE,"(none)"
,,"I highly recommend this place!",FALSE,"fact :: practical :: advice"
,,"Sitting outside for brunch on a sunny morning was the highlight of this meal!",TRUE,"judgement :: positive"
,,"They had heat lamps around the outdoor seating so it wasn't too chilly (actually quite warm at times).",TRUE,"fact :: practical"
"#Caputo’s Fine Foods",1.00,"Food was pretty standard.",TRUE,"judgement"
,,"I passed on the prix fixe brunch (it seemed like a really good deal though).",FALSE,"(none)"
,,"Since I'm cutting back on dairy, when I asked for no cheese with my omelette, the waiter asked me if I had a dairy allergy.",FALSE,"(none)"
,,"Then he was really considerate and came over to suggest another dish.",FALSE,"(none)"
,,"I ended up getting the seared tuna salad.",FALSE,"(none)"
,,"The fish tasted fresh and was nicely crisp on the outside and slightly cooked on the inside.",TRUE,"judgement :: positive"
,,"The watercress and avocado tasted fresh as well.",TRUE,"judgement :: positive"
,,"The salad was bit pricey for what it's worth, but I guess for the environment, the premium was worth it.",FALSE,"fact :: practical"
,,"I loved my meal.",FALSE,"judgement :: positive"
,,"The service was great.",TRUE,"judgement :: positive"
"#Caputo’s Fine Foods",1.00,"The wait was short.",TRUE,"fact :: practical"
,,"And the prices were reasonable.",TRUE,"fact :: practical"
,,"It's not my favorite restaurant in the neighborhood, but I'll definitely be back.",FALSE,"judgement"
,,"Food: We ordered pastas off the special board (They brought the whole blackboard to our table, which was cute).",FALSE,"(none)"
,,"I particularly enjoyed the linguine with truffle, but everything was great.",FALSE,"judgement :: positive"
"#Caputo’s Fine Foods",1.00,"The house wine was a Chianti Classico, and it was fine for the price.",TRUE,"judgement :: positive"
,,"Ambiance: Very casual.",TRUE,"judgement"
,,"Not the least bit pretentious.",FALSE,"(none)"
,,"And the place is filled with Italians.",FALSE,"(none)"
,,"I don't know if they were tourists or expats sitting on either side of us, but nobody was speaking English.",FALSE,"fact"
"#Caputo’s Fine Foods",1.00,"Service: Casual, but great.",TRUE,"judgement :: positive"
,,"We came on a Thursday night and had a short (five-minute?) wait.",FALSE,"(none)"
,,"The waiter was friendly and helpful.",TRUE,"judgement :: positive"
,,"The food arrived quickly.",TRUE,"fact :: practical"
,,"We LOVE us some Barbuto!",FALSE,"judgement :: positive"
,,"Johnathon Waxman hits it out of the park.",TRUE,"judgement :: positive"
"#Caputo’s Fine Foods",0.80,"Famous for his roasted chicken, but you're limiting yourself if that's where you stop.",FALSE,"(none)"
,,"The delicious apps and perfect cheese plates are a welcome addition to any meal you enjoy at Barbuto.",TRUE,"judgement :: positive"
,,"The wine list is always on point and in season.",TRUE,"fact :: practical"
,,"Whichever hostess is at the door isn't usually all that welcoming, but don't let that be a reason to not go.",TRUE,"fact :: practical :: alert"
,,"Get the roasted chicken, the gnocchi of the season or a 4 piece cheese plate and you won't be disappointed.",TRUE,"fact :: practical :: advice"
,,"Lovely french restaurant in Nolita.",TRUE,"judgement :: positive"
,,"The food is not super abundant, but well priced but the portion.",FALSE,"fact :: practical"
,,"They have a great selection of wines and delicious burrata.",TRUE,"fact :: practical"
,,"The servers can occasionally be mean/ too cool for school.",FALSE,"fact :: practical :: alert"
"#Caputo’s Fine Foods",1.00,"Otherwise lovely!",FALSE,"(none)"
,,"And cash only.",TRUE,"fact :: practical :: alert"
,,"Always in search for a good lunch-time wine bar to enjoy a good book, decided to try this place based on mediocre Yelp reviews.",FALSE,"(none)"
,,"Plenty of seating at the bar with a nice breeze from the open windows/door.",TRUE,"fact :: practical"
"#Caputo’s Fine Foods",1.00,"Quickly was able to order a glass of Montepulciano ($8) and Insalada di Fregola ($12).",FALSE,"fact :: practical"
,,"The free bread while I waited was warm and delicious.",FALSE,"judgement :: positive"
,,"Wine amount was okay. Some places give you more, others less.",FALSE,"(none)"
,,"After 10min got my salad, but it was the chicken salad instead of the tuna.",FALSE,"judgement"
,,"I didn't necessarily have time to wait for the correct meal to be made so I went with it.",FALSE,"(none)"
,,"Meal was okay, nothing memorable.",TRUE,"judgement"
,,"I preferred YN restaurant nearby.",FALSE,"(none)"
,,"The best place for Italian food around time square.",TRUE,"judgement :: positive"
,,"They serve it family style like may Italian restaurants.",TRUE,"fact :: practical"
,,"The best thing about this one is that they actually have Individual Lunch Portions, which is perfect for when you are craving comfort food for lunch.",TRUE,"fact :: practical"
,,"Great restaurant located in the Times Sq. area.",TRUE,"judgement :: positive"
,,"Initially made a reservation for 5, but they were willing to accomodate 2 extra people if they showed up.",FALSE,"fact :: practical"
,,"Lots of people for a weeknight.",TRUE,"fact :: practical :: alert"
,,"Your best bet is to come here with at least 3 people.",TRUE,"fact :: practical :: advice"
,,"Family style food.",TRUE,"fact :: practical"
,,"In the end, there were only 5 of us dining so we ordered two entrees.",FALSE,"(none)"
,,"We ordered the fettuccine alfredo and chicken parm.",FALSE,"(none)"
,,"The alfredo was rich and creamy.",FALSE,"judgement :: positive"
,,"The chicken parm was made perfectly: thin chicken cutlets with a reasonable amount of breading.",TRUE,"judgement :: positive"
,,"Only downside was that the bread that we were served was inconsisten.",FALSE,"judgement :: negative"
,,"For me, it was borderline stale, but my other friends really enjoyed it.",FALSE,"judgement"
,,"Some pieces were very crunchy while others were a bit softer.",FALSE,"(none)"
"#The Cinnamon Snail",1.00,"Since we ordered two dishes, the total came up around $60 for 5 people.",FALSE,"fact :: practical"
,,"First time here and we would come back in a heart beat!",FALSE,"judgement :: positive"
"#The Cinnamon Snail",0.80,"Made reservations for 8 just after 7pm without a problem.",FALSE,"fact :: practical"
,,"We were greeted and sat down within seconds.",FALSE,"fact :: practical"
,,"Food is served up family style.",TRUE,"fact :: practical"
,,"There were 2 adults and 1 child in our party and we ordered a Cesar salad and baked ziti.",FALSE,"fact :: practical"
,,"We had chicken added to it and the waiter was amazing to us!",FALSE,"(none)"
,,"He had attention to detail!",FALSE,"(none)"
"#The Cinnamon Snail",1.00,"Our plates were wiped down before he gave them to us.",FALSE,"(none)"
,,"Never had a place done that.",FALSE,"(none)"
,,"Water was always full, we were always checked on, and he was very friendly and professional.",FALSE,"(none)"
,,"Tony's food....",FALSE,"(none)"
"#The Cinnamon Snail",1.00,"Oh my!",FALSE,"(none)"
,,"Delicious.",FALSE,"judgement :: positive"
,,"My pasta was al dente which I have a hard time doing at home but it was sooooooo good.",FALSE,"judgement :: positive"
,,"I don't live here in NYC but I'll let everyone know about this place!!!",FALSE,"(none)"
,,"I was a little surprised that this place was good, because I have this skewed opinion that restaurants in Times Square are mediocre.",FALSE,"judgement :: positive"
,,"We had Tony's arugula salad and penne with vodka sauce and mushrooms.",FALSE,"(none)"
,,"The salad was just salad, nothing special, but the pasta was delicious.",TRUE,"judgement :: positive"
,,"The sauce was well seasoned and tasty.",TRUE,"fact :: practical"
"#The Cinnamon Snail",0.60,"We also ordered the Tiramisu for dessert, which was my favorite part of the night.",FALSE,"fact :: practical"
,,"I don't know what to say about it, except that it was just a good Tiramisu.",FALSE,"judgement :: positive"
,,"They got it down.",FALSE,"(none)"
,,"Go with a crowd and eat by yourself since you can't hear anyone.",TRUE,"fact :: practical :: advice"
"#The Cinnamon Snail",1.00,"But man the pizza's are good.",FALSE,"judgement :: positive"
,,"Classic.",TRUE,"judgement :: positive"
,,"Very very good.",TRUE,"judgement :: positive"
,,"Not pretentious.",TRUE,"(none)"
,,"Would recommend to anyone.",FALSE,"fact :: practical :: advice"
,,"Try the peach house frozen drink and the Tiramisu.",TRUE,"fact :: practical :: advice"
,,"Both are very nice.",FALSE,"judgement :: positive"
,,"Service - OK",TRUE,"judgement :: positive"
,,"Ambiance - OK",TRUE,"judgement :: positive"
,,"Food - OK",TRUE,"judgement :: positive"
